Age,Gender,Income,Household_Size,Overall_Satisfaction,Average_Spend,Education_Level,Employment_Status,Marital_Status,Location,Shopping_Frequency,Product_Preferences,Shopping_Time,Brand_Loyalty,Shopping_Channels,Payment_Methods,Product_Quality_Importance,Price_Sensitivity,Promotions_Discounts_Interest,Store_Experience,Customer_Service_Expectations,Delivery_Pickup_Preferences,Product_Satisfaction,Service_Satisfaction,Store_Layout_Satisfaction,Ease_of_Shopping,Communication_Preferences,Social_Media_Engagement,Membership_Program_Interest,Shopping_Triggers,Brand_Perception,Competitor_Awareness,Online_Shopping_Habits,App_Usage,Tech_Savviness,Estimated_Savings
29,Male,2070.33,5,1,283.68,Undergraduate,Student,Single,Rural,Monthly,Clothing,Weekends,High,In-store,Mobile Payment,3,3,1,1,1,Curbside Pickup,5,2,1,4,Social Media,3,1,Advertisements,Quality,2,3,3,5,
43,Female,"$2,785.04",3,2,$276.47,High School,Full-time,Single,Urban,Rarely,Clothing,Morning,High,In-store,Mobile Payment,1,2,2,5,2,In-store Pickup,4,4,2,1,Social Media,2,2,Advertisements,Exclusivity,2,4,1,4,"$2,508.57"
49,Male,3072.39,3,1,185.61,High School,Retired,Divorced,Urban,Weekly,Clothing,Evening,High,Both,Credit Card,2,4,4,4,5,In-store Pickup,3,5,4,2,Email,3,2,Word of Mouth,Value for Money,2,1,3,5,
59,Female,2685.92,3,3,368.76,Undergraduate,Retired,Widowed,Suburban,Daily,Electronics,Weekends,Moderate,In-store,Mobile Payment,3,3,1,2,4,In-store Pickup,3,2,1,3,Social Media,5,3,Word of Mouth,Quality,4,3,4,2,
62,Male,7066.47,6,3,704.38,Undergraduate,Part-time,Married,Urban,Weekly,Groceries,Weekends,High,Both,Mobile Payment,5,1,1,2,5,In-store Pickup,2,5,5,4,Social Media,3,1,Necessity,Exclusivity,2,5,3,2,
24,Male,3187.1,1,4,343.62,Undergraduate,Student,Divorced,Urban,Monthly,Home Goods,Evening,Low,Both,Credit Card,1,4,3,3,2,Home Delivery,1,2,2,1,Social Media,5,1,Necessity,Value for Money,3,3,2,4,
26,Male,8198.78,6,2,595.6,Undergraduate,Unemployed,Married,Urban,Rarely,Home Goods,Afternoon,High,Both,Credit Card,4,5,2,5,4,Curbside Pickup,3,3,3,5,Email,5,3,Advertisements,Quality,4,5,3,2,
58,Male,1392.21,3,4,282.53,Undergraduate,Part-time,Single,Rural,Monthly,Electronics,Morning,Low,In-store,Mobile Payment,2,2,1,3,1,Home Delivery,3,5,4,5,SMS,2,2,Advertisements,Exclusivity,5,3,3,4,
27,Male,8309.29,2,3,679.7,High School,Student,Single,Urban,Monthly,Groceries,Morning,Moderate,Both,Mobile Payment,3,3,2,5,3,In-store Pickup,2,4,1,1,Email,4,5,Necessity,Value for Money,3,1,3,5,
40,Male,4560.57,3,1,302.63,Postgraduate,Full-time,Widowed,Suburban,Rarely,Electronics,Morning,Low,In-store,Credit Card,2,3,1,3,2,In-store Pickup,1,1,1,1,Social Media,2,3,Word of Mouth,Quality,3,4,1,3,
44,Female,7680.93,3,3,552.17,Undergraduate,Unemployed,Married,Suburban,Daily,Electronics,Morning,High,Both,Cash,2,2,4,4,3,Home Delivery,1,4,4,5,Social Media,1,1,Advertisements,Value for Money,1,1,5,4,
70,Male,6792.66,1,4,519.43,Postgraduate,Retired,Single,Urban,Daily,Clothing,Morning,Low,Both,Cash,1,5,2,5,1,Curbside Pickup,4,3,4,4,SMS,3,3,Advertisements,Exclusivity,3,5,3,1,
61,Female,"$3,177.21",3,5,$460.48,Undergraduate,Retired,Divorced,Rural,Monthly,Home Goods,Morning,Moderate,In-store,Mobile Payment,1,4,2,3,4,Home Delivery,5,4,4,4,Email,1,4,Advertisements,Exclusivity,4,2,5,3,"$2,716.73"
70,Male,6457.89,2,5,583.01,High School,Unemployed,Divorced,Urban,Rarely,Electronics,Weekends,High,In-store,Mobile Payment,5,4,2,2,3,Curbside Pickup,2,1,4,4,SMS,2,1,Necessity,Exclusivity,2,1,1,5,
44,Male,504.42,2,2,195.54,Postgraduate,Part-time,Married,Suburban,Daily,Electronics,Afternoon,Low,In-store,Cash,3,2,2,1,2,In-store Pickup,4,3,4,3,Email,4,4,Advertisements,Exclusivity,4,3,4,3,
49,Male,2563.81,2,1,233.28,Undergraduate,Retired,Widowed,Rural,Weekly,Home Goods,Morning,Moderate,Both,Credit Card,5,5,5,4,3,Curbside Pickup,2,1,2,5,SMS,4,4,Necessity,Quality,2,3,1,3,
55,Male,7196.29,4,2,563.55,Postgraduate,Unemployed,Single,Urban,Monthly,Groceries,Afternoon,Low,In-store,Credit Card,1,5,2,4,1,Curbside Pickup,3,3,2,1,Social Media,4,1,Word of Mouth,Quality,2,3,4,2,
42,Female,2544.08,6,3,365.69,Undergraduate,Retired,Married,Urban,Weekly,Clothing,Afternoon,Low,Online,Mobile Payment,1,2,2,3,2,In-store Pickup,2,3,1,3,SMS,3,2,Word of Mouth,Quality,2,5,1,2,
51,Female,8232.37,1,3,617.84,Postgraduate,Student,Widowed,Suburban,Daily,Clothing,Evening,Moderate,Both,Credit Card,2,2,4,4,4,In-store Pickup,4,2,2,1,Social Media,5,3,Necessity,Value for Money,2,4,2,1,
46,Male,3423.76,5,2,219.03,Postgraduate,Full-time,Married,Suburban,Monthly,Home Goods,Morning,High,In-store,Mobile Payment,5,2,4,1,2,Curbside Pickup,3,4,5,2,Social Media,3,2,Word of Mouth,Value for Money,1,2,3,2,
22,Male,7033.56,5,2,608.06,Undergraduate,Part-time,Married,Rural,Daily,Clothing,Evening,High,In-store,Cash,4,5,4,5,2,In-store Pickup,4,1,4,2,SMS,2,4,Advertisements,Value for Money,3,2,2,5,
25,Male,9360.47,3,4,738.02,Undergraduate,Retired,Single,Suburban,Daily,Home Goods,Evening,High,In-store,Credit Card,2,3,5,5,1,Curbside Pickup,1,2,2,1,SMS,3,3,Advertisements,Value for Money,5,4,4,4,
29,Female,1599.91,6,5,429.74,Undergraduate,Part-time,Married,Rural,Rarely,Electronics,Morning,Moderate,Both,Credit Card,4,1,2,1,5,Home Delivery,5,2,4,1,Social Media,2,3,Advertisements,Quality,4,4,4,4,
68,Female,"$3,630.70",5,5,$477.09,Undergraduate,Full-time,Single,Suburban,Monthly,Electronics,Weekends,High,In-store,Credit Card,4,5,5,1,5,Home Delivery,4,3,3,2,Social Media,5,2,Word of Mouth,Value for Money,2,1,5,2,"$3,153.61"
35,Female,6943.13,6,3,556,High School,Retired,Widowed,Urban,Daily,Electronics,Weekends,Moderate,Both,Mobile Payment,4,1,5,2,3,In-store Pickup,3,2,2,3,Email,5,4,Necessity,Value for Money,1,3,1,3,
50,Male,4575.01,5,1,347.11,High School,Unemployed,Divorced,Urban,Rarely,Home Goods,Evening,High,Online,Credit Card,1,1,2,3,4,Home Delivery,2,2,2,3,Social Media,2,3,Word of Mouth,Exclusivity,2,4,1,2,
44,Female,8426.81,1,5,696.8,High School,Unemployed,Widowed,Urban,Monthly,Electronics,Afternoon,Moderate,In-store,Mobile Payment,3,1,2,1,1,Curbside Pickup,5,3,1,1,Email,5,3,Necessity,Exclusivity,3,2,3,2,
42,Male,9728.66,4,3,638.31,Postgraduate,Self-employed,Divorced,Suburban,Daily,Home Goods,Morning,Low,Online,Mobile Payment,2,2,4,5,2,Home Delivery,1,4,5,5,Email,2,2,Necessity,Quality,5,4,3,1,
55,Male,1169.65,2,2,196.47,High School,Part-time,Single,Urban,Rarely,Groceries,Evening,Low,Online,Cash,4,3,4,2,1,Curbside Pickup,1,5,4,3,Social Media,5,3,Advertisements,Quality,2,2,4,2,
38,Male,4867.96,5,1,391.58,Undergraduate,Retired,Married,Rural,Rarely,Home Goods,Afternoon,Low,Both,Credit Card,1,5,1,2,5,In-store Pickup,4,5,3,5,Email,3,1,Necessity,Quality,4,2,4,2,
32,Male,7165.06,6,4,664.31,Postgraduate,Retired,Divorced,Suburban,Weekly,Clothing,Morning,High,Both,Credit Card,3,4,1,4,2,In-store Pickup,4,1,3,4,Email,2,5,Word of Mouth,Value for Money,1,4,5,2,
58,Male,1325.93,4,4,281.64,High School,Part-time,Married,Rural,Rarely,Clothing,Evening,High,Online,Cash,2,2,2,4,5,Home Delivery,5,5,5,3,Social Media,1,4,Advertisements,Quality,1,4,4,3,
33,Female,"$3,644.48",2,5,$462.12,Undergraduate,Student,Single,Urban,Rarely,Groceries,Weekends,High,Online,Credit Card,4,4,2,4,2,In-store Pickup,1,1,3,1,SMS,5,1,Advertisements,Value for Money,1,5,4,4,"$3,182.36"
43,Female,2904.44,5,1,220.95,Undergraduate,Retired,Widowed,Suburban,Rarely,Groceries,Afternoon,High,In-store,Credit Card,2,5,1,2,3,Home Delivery,2,3,2,5,SMS,1,1,Advertisements,Exclusivity,4,1,5,3,
47,Female,"$3,859.26",1,1,$268.31,Postgraduate,Full-time,Divorced,Rural,Monthly,Electronics,Weekends,High,In-store,Credit Card,5,1,3,4,5,Curbside Pickup,1,1,2,1,SMS,2,3,Necessity,Quality,4,3,5,1,"$3,590.95"
33,Male,7020.09,2,3,511.87,Undergraduate,Self-employed,Widowed,Rural,Daily,Clothing,Weekends,High,In-store,Mobile Payment,5,3,2,5,4,Home Delivery,5,4,1,1,Social Media,5,3,Necessity,Value for Money,2,1,3,1,
69,Male,7975.81,3,1,586.26,Undergraduate,Student,Widowed,Rural,Weekly,Electronics,Weekends,High,Online,Mobile Payment,4,5,2,3,4,Home Delivery,5,5,5,4,SMS,1,3,Necessity,Value for Money,3,1,5,2,
49,Female,"$3,964.37",6,2,$382.89,Postgraduate,Unemployed,Single,Rural,Weekly,Electronics,Morning,Moderate,Online,Mobile Payment,3,2,5,3,2,In-store Pickup,4,3,3,1,Email,5,1,Necessity,Exclusivity,1,3,3,4,"$3,581.48"
23,Female,3981.19,1,2,332.04,Undergraduate,Unemployed,Widowed,Suburban,Daily,Electronics,Weekends,Moderate,Online,Credit Card,3,4,3,2,5,In-store Pickup,5,5,4,1,Email,2,1,Word of Mouth,Value for Money,1,2,2,2,
60,Male,3227.45,3,2,310.57,High School,Retired,Married,Suburban,Monthly,Home Goods,Morning,Moderate,Both,Mobile Payment,4,3,4,3,2,Curbside Pickup,2,4,2,5,Social Media,4,1,Advertisements,Value for Money,1,2,5,1,
38,Female,"$3,995.01",4,1,$411.17,Postgraduate,Self-employed,Single,Suburban,Daily,Clothing,Weekends,High,Both,Credit Card,4,3,4,1,4,In-store Pickup,1,4,2,1,Social Media,4,3,Word of Mouth,Quality,1,3,5,2,"$3,583.84"
39,Male,3971.82,4,3,460.25,High School,Full-time,Divorced,Urban,Weekly,Groceries,Weekends,Low,In-store,Mobile Payment,3,5,4,2,1,Curbside Pickup,4,2,5,1,Social Media,5,2,Necessity,Exclusivity,1,1,2,1,
39,Male,2191.13,5,2,344.93,Postgraduate,Full-time,Divorced,Suburban,Weekly,Groceries,Evening,Low,In-store,Cash,3,3,2,5,4,In-store Pickup,3,5,1,4,SMS,3,3,Necessity,Value for Money,3,3,5,5,
60,Female,"$4,254.91",3,4,$479.08,High School,Self-employed,Single,Rural,Weekly,Groceries,Weekends,Low,Online,Mobile Payment,5,1,2,5,1,In-store Pickup,1,3,4,1,SMS,2,2,Advertisements,Exclusivity,5,3,4,3,"$3,775.83"
48,Male,5287.51,4,5,555.47,Undergraduate,Retired,Single,Suburban,Monthly,Groceries,Evening,High,Both,Mobile Payment,4,3,5,3,2,In-store Pickup,1,2,1,2,SMS,1,1,Necessity,Value for Money,2,5,3,1,
65,Male,9477.83,5,1,615.99,Postgraduate,Unemployed,Married,Urban,Rarely,Home Goods,Afternoon,Moderate,In-store,Mobile Payment,2,2,2,2,2,Home Delivery,2,2,1,1,Email,2,3,Word of Mouth,Exclusivity,2,4,2,2,
34,Male,3742.55,3,3,417.8,Postgraduate,Full-time,Widowed,Urban,Monthly,Groceries,Evening,High,Online,Credit Card,4,3,1,5,1,Curbside Pickup,2,1,2,1,Social Media,2,5,Word of Mouth,Exclusivity,1,1,5,1,
44,Female,"$4,426.40",4,2,$367.63,Undergraduate,Unemployed,Single,Urban,Daily,Groceries,Evening,Moderate,Online,Credit Card,1,3,3,2,4,In-store Pickup,5,5,1,4,Email,4,1,Word of Mouth,Exclusivity,3,4,2,5,"$4,058.77"
66,Male,1284.05,6,2,267.55,Postgraduate,Part-time,Single,Urban,Weekly,Groceries,Evening,High,Both,Cash,3,5,1,1,4,Curbside Pickup,2,5,2,4,Social Media,5,1,Necessity,Exclusivity,5,1,4,1,
63,Female,"$4,522.90",6,1,$413.21,Postgraduate,Self-employed,Single,Rural,Rarely,Clothing,Morning,Moderate,Online,Credit Card,1,3,5,5,4,Curbside Pickup,4,4,1,4,SMS,5,4,Word of Mouth,Quality,1,1,2,2,"$4,109.69"
21,Male,4258.78,2,4,425.52,Undergraduate,Part-time,Married,Suburban,Weekly,Home Goods,Weekends,High,Both,Cash,3,2,4,3,1,In-store Pickup,1,1,2,2,Social Media,5,2,Word of Mouth,Exclusivity,3,4,4,2,
56,Female,"$4,643.23",4,1,$284.56,Undergraduate,Unemployed,Single,Urban,Daily,Groceries,Morning,High,Both,Mobile Payment,2,2,4,2,2,Curbside Pickup,5,3,3,1,Email,2,4,Word of Mouth,Quality,4,5,2,5,"$4,358.67"
24,Female,"$4,723.01",6,2,$426.76,Undergraduate,Student,Single,Rural,Weekly,Groceries,Weekends,Moderate,Both,Mobile Payment,2,2,2,3,2,In-store Pickup,2,3,1,5,Social Media,5,5,Necessity,Quality,2,4,1,5,"$4,296.25"
68,Female,4820.24,1,5,416.87,High School,Part-time,Widowed,Rural,Monthly,Electronics,Morning,High,Online,Mobile Payment,2,3,5,2,4,Home Delivery,1,2,1,5,Email,4,4,Word of Mouth,Exclusivity,3,2,4,5,
42,Female,7816.95,5,4,701.92,Postgraduate,Unemployed,Married,Suburban,Weekly,Home Goods,Weekends,Low,In-store,Credit Card,5,5,4,4,1,Curbside Pickup,5,1,4,4,Email,4,2,Advertisements,Value for Money,3,4,5,5,
69,Male,1095.17,6,4,421.06,Postgraduate,Student,Widowed,Suburban,Weekly,Home Goods,Morning,Moderate,Online,Cash,2,3,4,1,3,Home Delivery,3,5,2,1,Social Media,3,5,Advertisements,Quality,3,4,1,1,
39,Male,8243.27,2,2,534.92,Postgraduate,Self-employed,Single,Urban,Weekly,Home Goods,Afternoon,Moderate,Online,Cash,4,2,1,4,1,Curbside Pickup,4,3,5,4,Email,3,5,Necessity,Value for Money,4,1,5,4,
42,Male,3360.85,5,5,549.29,Undergraduate,Retired,Divorced,Rural,Rarely,Clothing,Afternoon,High,Both,Credit Card,5,4,2,5,3,Home Delivery,4,3,2,2,Social Media,1,4,Word of Mouth,Exclusivity,5,3,2,3,
67,Female,"$4,914.78",1,2,$406.99,Undergraduate,Retired,Divorced,Urban,Rarely,Home Goods,Evening,High,In-store,Cash,1,5,2,1,2,Curbside Pickup,1,5,1,4,Email,2,2,Word of Mouth,Quality,5,4,4,5,"$4,507.79"
63,Male,3465.07,1,2,301.81,Postgraduate,Retired,Married,Urban,Weekly,Clothing,Weekends,Moderate,In-store,Cash,2,4,3,2,2,Curbside Pickup,5,4,4,5,Email,1,5,Advertisements,Exclusivity,5,2,3,5,
42,Male,855.01,1,4,263.24,Undergraduate,Self-employed,Divorced,Suburban,Monthly,Home Goods,Morning,High,Both,Cash,5,5,5,5,4,Curbside Pickup,1,2,2,1,Email,5,5,Advertisements,Exclusivity,1,3,5,5,
40,Female,5428.65,6,5,640,Postgraduate,Student,Married,Rural,Rarely,Home Goods,Weekends,Low,In-store,Cash,5,1,4,5,5,Curbside Pickup,2,2,5,2,Email,2,1,Advertisements,Quality,1,4,5,1,
52,Male,6950.63,2,3,473.74,High School,Full-time,Single,Suburban,Weekly,Home Goods,Afternoon,Low,Both,Cash,3,3,5,3,4,Curbside Pickup,3,5,2,3,Social Media,2,2,Necessity,Exclusivity,2,3,4,5,
57,Male,9080.72,6,3,715.91,Postgraduate,Retired,Divorced,Urban,Monthly,Home Goods,Morning,Moderate,In-store,Cash,1,5,4,2,2,Curbside Pickup,5,4,3,2,Email,2,3,Word of Mouth,Value for Money,1,5,5,5,
65,Female,742.5,4,2,176.43,Postgraduate,Student,Widowed,Urban,Daily,Clothing,Evening,Low,Online,Cash,5,2,1,1,5,Home Delivery,1,5,2,5,Social Media,1,4,Necessity,Value for Money,5,1,2,4,
47,Male,9896.24,2,2,616.83,Postgraduate,Retired,Married,Rural,Rarely,Clothing,Afternoon,Moderate,Both,Mobile Payment,4,1,3,3,4,In-store Pickup,3,4,5,2,Social Media,1,3,Word of Mouth,Exclusivity,2,4,5,5,
29,Female,3377.43,1,1,290.08,Undergraduate,Part-time,Married,Urban,Rarely,Clothing,Morning,High,Online,Cash,3,3,3,2,1,In-store Pickup,1,2,3,4,Email,3,1,Advertisements,Quality,5,2,4,2,
,Average Income,#REF!,,Average Spending,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Female,7032.27,1,5,619.98,High School,Retired,Married,Suburban,Rarely,Clothing,Afternoon,Low,Online,Mobile Payment,5,2,1,1,1,In-store Pickup,3,1,1,1,Email,2,5,Necessity,Quality,3,5,2,3,
47,Male,4746.85,4,3,472.49,High School,Unemployed,Widowed,Suburban,Daily,Home Goods,Morning,Moderate,Online,Mobile Payment,2,3,4,4,3,In-store Pickup,5,5,1,3,Email,1,3,Necessity,Value for Money,5,4,1,5,
52,Male,8256.54,1,5,673.35,Postgraduate,Self-employed,Widowed,Suburban,Daily,Home Goods,Evening,Moderate,Online,Mobile Payment,1,1,1,3,2,In-store Pickup,2,2,4,1,Social Media,4,4,Advertisements,Exclusivity,3,2,3,2,
31,Male,875.24,3,1,194.07,Undergraduate,Student,Widowed,Rural,Monthly,Electronics,Evening,Low,Both,Credit Card,5,1,1,2,5,Curbside Pickup,5,3,5,2,Social Media,1,4,Necessity,Exclusivity,4,5,4,4,
46,Male,7520.8,2,2,513.92,Postgraduate,Student,Divorced,Rural,Monthly,Home Goods,Weekends,Low,Online,Credit Card,3,2,5,3,5,In-store Pickup,2,5,4,3,Social Media,4,4,Necessity,Value for Money,3,5,1,4,
49,Female,3812.84,1,4,418.39,Postgraduate,Full-time,Widowed,Suburban,Monthly,Clothing,Weekends,Low,Online,Cash,5,2,2,4,2,In-store Pickup,1,4,2,2,Email,5,3,Word of Mouth,Quality,4,1,2,1,
24,Male,8377.88,1,3,544.38,High School,Student,Widowed,Rural,Rarely,Groceries,Morning,Moderate,Both,Mobile Payment,3,1,3,2,1,Curbside Pickup,5,5,5,3,Social Media,2,4,Advertisements,Value for Money,1,3,5,3,
20,Male,5587.64,5,5,610.27,Undergraduate,Student,Single,Urban,Weekly,Groceries,Evening,High,Both,Credit Card,3,3,3,4,4,In-store Pickup,5,1,4,3,Social Media,1,2,Advertisements,Exclusivity,4,4,1,1,
40,Male,3108.18,5,5,473.06,Postgraduate,Self-employed,Widowed,Urban,Weekly,Electronics,Weekends,Moderate,Both,Cash,2,2,1,1,5,In-store Pickup,1,4,2,4,Social Media,5,4,Word of Mouth,Exclusivity,1,1,3,5,
